"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
6.2226710489635e-19,0.510183662765042,0.42,0.184,2.04620092103067e-14,"2","Ucp2"
6.65849355818024e-19,0.378670315849261,0.277,0.102,2.18951243673641e-14,"2","Edem2"
6.74115112989592e-19,0.371969116409866,0.709,0.334,2.21669272604368e-14,"2","Arl8b"
6.84102239809242e-19,0.545454426465,0.319,0.125,2.24953339516473e-14,"2","Mrpl21"
7.05514860068189e-19,0.177807684592935,0.541,0.252,2.31994451436222e-14,"2","Dpp9"
7.24130686185124e-19,0.180268701188765,0.524,0.239,2.38115893538254e-14,"2","Tmem41b"
7.81064958861976e-19,0.212176824050359,0.431,0.189,2.56837590422584e-14,"2","Osbp"
7.92088054628664e-19,0.397158438895676,0.389,0.166,2.60462315003544e-14,"2","Cops8"
8.47538307975104e-19,0.781038021185259,0.325,0.13,2.78696021811453e-14,"2","Slc1a1"
8.61249462423862e-19,0.563266082491723,0.759,0.394,2.83204660728839e-14,"2","Ube4a"
9.16188458693652e-19,0.379846123034188,0.574,0.266,3.01270250872234e-14,"2","Man1b1"
9.22294023567646e-19,0.205682511585981,0.661,0.293,3.03277943769749e-14,"2","Dnajc10"
9.7098941701153e-19,1.13873358945881,0.291,0.112,3.19290449995901e-14,"2","Fst"
1.02559802545208e-18,0.419347525642956,0.381,0.162,3.37247398709406e-14,"2","Mrps18a"
1.03515668510701e-18,0.607053875228187,0.328,0.132,3.4039057276374e-14,"2","Klhl42"
1.07093382795327e-18,1.16888867533752,0.339,0.142,3.52155170645875e-14,"2","C2cd2l"
1.10926599961041e-18,0.257227499129896,0.375,0.159,3.6475993865189e-14,"2","Ttc13"
1.16538514874994e-18,0.15844287948094,0.283,0.103,3.83213598463443e-14,"2","Usp42"
1.16950056060738e-18,0.126636669237383,0.417,0.181,3.84566869344525e-14,"2","Ago2"
1.18650960259212e-18,0.435959132530664,0.431,0.192,3.90159952620366e-14,"2","Sdhaf2"
1.19620142815641e-18,0.576042794579005,0.381,0.164,3.93346915620673e-14,"2","Fam20b"
1.26955703787464e-18,0.255285323155366,0.63,0.31,4.17468440764317e-14,"2","Galnt7"
1.39890488001154e-18,0.214873964324484,0.675,0.319,4.60001891694195e-14,"2","Dstn"
1.44534108962917e-18,0.145727815916682,0.655,0.294,4.7527151050276e-14,"2","LOC691995"
1.45035549679072e-18,0.899305074271049,0.294,0.114,4.76920398009692e-14,"2","Mrps18b"
1.46132535906693e-18,0.632271177705249,0.412,0.183,4.80527617821979e-14,"2","Samm50"
